stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,geometry_point
4122,4122,Reeves Way & Rabbit Hill Road,,53.470555,-113.589715,1EDM,,0,,POINT (-113.589715 53.470555)
7485,7485,82 Street & 130 Avenue,,53.589516,-113.467033,1EDM,,0,,POINT (-113.467033 53.589516)
9012,9012,Heritage Valley Transit Centre Bay C,,53.425988,-113.544954,1EDM,,0,,POINT (-113.544954 53.425988)
S7438,7438,Dawson Dr & Donnely Terr,,53.55531,-113.271066,4SCT,,0,,POINT (-113.271066 53.55531)
3555,3555,57 Street & 38 Avenue,,53.472974,-113.426967,1EDM,,0,,POINT (-113.426967 53.472974)
3912,3912,Mill Woods Transit Centre Bay L,,53.457061,-113.429807,1EDM,,0,,POINT (-113.429807 53.457061)
A0009,0009,Grenfell Ave & Glenhaven Cres,,53.62281,-113.632752,2STA,,0,,POINT (-113.632752 53.62281)
3446,3446,38 Street & 43 Avenue,,53.480526,-113.399381,1EDM,,0,,POINT (-113.399381 53.480526)
7232,7232,88 Street & 150 Avenue,,53.611233,-113.473984,1EDM,,0,,POINT (-113.473984 53.611233)
L0348,0348,5 Street & 24 Avenue,,53.351329,-113.53139,9LT,,0,,POINT (-113.53139 53.351329)
A0007,0007,Grenfell Ave & Gresham Blvd,,53.624219,-113.629035,2STA,,0,,POINT (-113.629035 53.624219)
A0062,0062,Kingswood Blvd & Kingsmeade Cres,,53.649157,-113.58769,2STA,,0,,POINT (-113.58769 53.649157)
4327,4327,114 Street & 40 Avenue,,53.475789,-113.525439,1EDM,,0,,POINT (-113.525439 53.475789)
4838,4838,119 Street & 23 Avenue,,53.454053,-113.53482,1EDM,,0,,POINT (-113.53482 53.454053)
6135,6135,102 Street & 176 Avenue,,53.639474,-113.499971,1EDM,,0,,POINT (-113.499971 53.639474)
A0579,0579,Parkwood Dr & Park Ave,,53.640967,-113.594547,2STA,,0,,POINT (-113.594547 53.640967)
3043,3043,75 Street & Knottwood Road S,,53.442184,-113.448456,1EDM,,0,,POINT (-113.448456 53.442184)
7640,7640,Henry Avenue & Hermitage Road,,53.585465,-113.405395,1EDM,,0,,POINT (-113.405395 53.585465)
4221,4221,Riverbend Road & 44 Avenue,,53.482328,-113.579258,1EDM,,0,,POINT (-113.579258 53.482328)
7051,7051,50 Street & 140 Avenue,,53.603507,-113.418636,1EDM,,0,,POINT (-113.418636 53.603507)
7146,7146,Fort Road & 127 Avenue,,53.584766,-113.444102,1EDM,,0,,POINT (-113.444102 53.584766)
3587,3587,37 Street & 36 Avenue,,53.466532,-113.400903,1EDM,,0,,POINT (-113.400903 53.466532)
2848,2848,91 Street & 82 Avenue,,53.517941,-113.466859,1EDM,,0,,POINT (-113.466859 53.517941)
3076,3076,61 Street & 11A Avenue,,53.44047,-113.431118,1EDM,,0,,POINT (-113.431118 53.44047)
6693,6693,134 Street & 150 Avenue,,53.612834,-113.551701,1EDM,,0,,POINT (-113.551701 53.612834)
3324,3324,Woodvale Road W & 34B Avenue,,53.467999,-113.432683,1EDM,,0,,POINT (-113.432683 53.467999)
5842,5842,163 Street & 118 Avenue,,53.570298,-113.601198,1EDM,,0,,POINT (-113.601198 53.570298)
5270,5270,156 Street & 77A Avenue,,53.51019,-113.590229,1EDM,,0,,POINT (-113.590229 53.51019)
6091,6091,121 Street & 157 Avenue,,53.61865,-113.530801,1EDM,,0,,POINT (-113.530801 53.61865)
6175,6175,127 Street & 142 Avenue,,53.603782,-113.541514,1EDM,,0,,POINT (-113.541514 53.603782)
7011,7011,Northgate Transit Centre Bay H,,53.599795,-113.490538,1EDM,,0,,POINT (-113.490538 53.599795)
1204,1204,Coliseum Transit Centre Bay D,,53.570692,-113.459938,1EDM,,0,,POINT (-113.459938 53.570692)
5769,5769,178 Street & 100 Avenue,,53.536919,-113.627691,1EDM,,0,,POINT (-113.627691 53.536919)
5566,5566,164 Street & 87 Avenue,,53.519461,-113.604847,1EDM,,0,,POINT (-113.604847 53.519461)
E71,E71,McKernan Belgravia Station North Access,,53.513754,-113.526164,,,2,Q5164,POINT (-113.526164 53.513754)
2204,2204,Southgate Transit Centre Bay D,,53.485835,-113.516111,1EDM,,0,,POINT (-113.516111 53.485835)
1209,1209,Coliseum Transit Centre Bay J,,53.571024,-113.459515,1EDM,,0,,POINT (-113.459515 53.571024)
L0349,0349,5 Street & 23A Avenue,,53.347271,-113.531394,9LT,,0,,POINT (-113.531394 53.347271)
1430,1430,97 Street & 124 Avenue,,53.579221,-113.492505,1EDM,,0,,POINT (-113.492505 53.579221)
2704,2704,South Campus Fort Edmonton Transit Centre Bay D,,53.503047,-113.528954,1EDM,,0,,POINT (-113.528954 53.503047)
5286,5286,147 Street & 118 Avenue,,53.570472,-113.576191,1EDM,,0,,POINT (-113.576191 53.570472)
2702,2702,South Campus Fort Edmonton Transit Centre Bay B,,53.503406,-113.528947,1EDM,,0,,POINT (-113.528947 53.503406)
1571,1571,97 Street & Jasper Avenue,,53.543457,-113.485763,1EDM,,0,,POINT (-113.485763 53.543457)
9203,9203,Allan Drive & Windermere Boulevard SW,,53.431707,-113.589942,1EDM,,0,,POINT (-113.589942 53.431707)
6743,6743,127 Street & 169 Avenue,,53.630225,-113.541525,1EDM,,0,,POINT (-113.541525 53.630225)
7369,7369,59 Street & 132 Avenue,,53.592305,-113.431325,1EDM,,0,,POINT (-113.431325 53.592305)
1029,1029,32 Street & 111 Avenue,,53.563485,-113.389488,1EDM,,0,,POINT (-113.389488 53.563485)
7338,7338,66 Street & 129 Avenue,,53.587914,-113.442837,1EDM,,0,,POINT (-113.442837 53.587914)
E127,E127,108 Street & Jasper Avenue South,,53.540653,-113.506646,,,2,Q2805,POINT (-113.506646 53.540653)
2456,2456,96 Street & 79 Avenue,,53.51529,-113.476823,1EDM,,0,,POINT (-113.476823 53.51529)
1853,1853,50 Street & 124 Avenue,,53.581258,-113.418121,1EDM,,0,,POINT (-113.418121 53.581258)
1474,1474,79 Street & 112 Avenue,,53.561312,-113.463126,1EDM,,0,,POINT (-113.463126 53.561312)
6524,6524,105 Street & 134A Avenue,,53.596186,-113.500779,1EDM,,0,,POINT (-113.500779 53.596186)
F2009,2009,94 Avenue and 90 Street EB,,53.694591,-113.227566,6FST,,0,,POINT (-113.227566 53.694591)
S1071,1071,Georgian Wy & Glenbrook Blvd,,53.536642,-113.285806,4SCT,,0,,POINT (-113.285806 53.536642)
2076,2076,Calgary Trail SB & 45 Avenue,,53.482686,-113.495197,1EDM,,0,,POINT (-113.495197 53.482686)
6189,6189,102 Street & 132 Avenue,,53.591978,-113.49503,1EDM,,0,,POINT (-113.49503 53.591978)
A0665,0665,Boudreau Rd & Ellesmere Dr,,53.652542,-113.622398,2STA,,0,,POINT (-113.622398 53.652542)
7943,7943,Clareview Road & 132A Avenue,,53.593774,-113.384358,1EDM,,0,,POINT (-113.384358 53.593774)
A0243,0243,Sturgeon Rd & Burns St,,53.637075,-113.619662,2STA,,0,,POINT (-113.619662 53.637075)
5980,5980,177 Street & 69 Avenue,,53.50353,-113.627783,1EDM,,0,,POINT (-113.627783 53.50353)
7687,7687,Clareview Road & 135 Avenue,,53.596127,-113.383818,1EDM,,0,,POINT (-113.383818 53.596127)
1679,1679,105 Street & 104 Avenue,,53.546114,-113.500398,1EDM,,0,,POINT (-113.500398 53.546114)
3697,3697,50 Street & Whitemud Drive,,53.486669,-113.417643,1EDM,,0,,POINT (-113.417643 53.486669)
9759,9759,141 Street & Paisley Road SW,,53.41446,-113.56526,1EDM,,0,,POINT (-113.56526 53.41446)
2219,2219,59 Street & Roper Road,,53.495211,-113.424717,1EDM,,0,,POINT (-113.424717 53.495211)
3550,3550,Youville Drive E & 28 Avenue,,53.459558,-113.424995,1EDM,,0,,POINT (-113.424995 53.459558)
6388,6388,St Albert Trail & 130 Avenue,,53.58882,-113.564173,1EDM,,0,,POINT (-113.564173 53.58882)
5722,5722,172 Street & 69 Avenue,,53.504927,-113.619449,1EDM,,0,,POINT (-113.619449 53.504927)
4745,4745,McLuhan Road & Rabbit Hill Road,,53.437437,-113.567471,1EDM,,0,,POINT (-113.567471 53.437437)
8693,8693,178 Street & 105 Avenue,,53.549028,-113.62726,1EDM,,0,,POINT (-113.62726 53.549028)
6628,6628,134 Street & 150 Avenue,,53.612486,-113.550473,1EDM,,0,,POINT (-113.550473 53.612486)
2803,2803,67 Street & 72 Avenue,,53.508674,-113.431697,1EDM,,0,,POINT (-113.431697 53.508674)
F5004,5004,Greenfield Way and Southfort Drive EB,,53.681854,-113.232872,6FST,,0,,POINT (-113.232872 53.681854)
2768,2768,109 Street & Saskatchewan Drive,,53.523805,-113.510654,1EDM,,0,,POINT (-113.510654 53.523805)
E283,E283,Strathern Stop West Entrance,,53.531708,-113.46379,,,2,Q6035,POINT (-113.46379 53.531708)
7569,7569,23 Street & 142 Avenue,,53.605256,-113.377962,1EDM,,0,,POINT (-113.377962 53.605256)
1605,1605,109 Street & 105 Avenue,,53.548607,-113.508248,1EDM,,0,,POINT (-113.508248 53.548607)
7058,7058,64 Street & 158 Avenue,,53.619482,-113.440596,1EDM,,0,,POINT (-113.440596 53.619482)
A0249,0249,Sturgeon Rd & Beaverbrook Cres,,53.64449,-113.612453,2STA,,0,,POINT (-113.612453 53.64449)
S8010,8010,Broadway Blvd at Robin Hood,,53.543404,-113.311286,4SCT,,0,,POINT (-113.311286 53.543404)
